n_stock,industry_ret,top_mean_excess,bottom_mean_excess,k_spread,k_score,dispersion_std,iqr_excess,positive_ratio,negative_ratio,date,industry,window,k_zscore,k_pct
53,-0.01138464266237087,0.13876805649787574,-0.24391768069044478,0.38268573718832055,0.38268573718832055,0.1427499559969601,0.12226130691875924,0.20754716981132076,0.7924528301886793,2026-06-23,服装家纺,20,2.8358816977487478,1.0
25,0.19317066764209676,0.19673059892292755,-0.36310209026667517,0.5598326891896027,0.5598326891896027,0.21898386224593847,0.3024811799609184,0.4,0.6,2026-06-23,小金属,20,3.8075799869412,0.9960474308300395
12,-0.1298454015375492,0.24400933580598294,-0.22313111138917807,0.467140447195161,0.467140447195161,0.22463638592059823,0.05992379068658704,0.5833333333333334,0.4166666666666667,2026-06-23,非白酒,20,4.596410115748016,0.9960474308300395
13,-0.18786477367560608,0.1982781987469375,-0.15267397006890523,0.35095216881584274,0.35095216881584274,0.12010503995403411,0.13965857231984025,0.8461538461538461,0.15384615384615385,2026-06-23,商用车,20,3.378297482941668,0.9960474308300395
30,-0.03681122133986081,0.22209059739293519,-0.12659584772499252,0.3486864451179277,0.3486864451179277,0.1575489799123115,0.15054483489401105,0.4,0.6,2026-06-23,煤炭开采,20,3.3024785470647178,0.9960474308300395
33,0.15930626942791826,0.24168124367607127,-0.3650173159210894,0.6066985595971607,0.6066985595971607,0.24914980005115078,0.21517232957834587,0.18181818181818182,0.8181818181818182,2026-06-23,其他电子Ⅱ,20,3.2755637099974555,0.9920948616600791
177,0.05792803109818151,0.21534792019295862,-0.25803111103707294,0.47337903123003156,0.47337903123003156,0.191980167966488,0.19283516593330496,0.24293785310734464,0.7570621468926554,2026-06-23,化学制品,20,3.576758723937832,0.9920948616600791
31,-0.013489395706337464,0.2065423234118931,-0.2103240739519101,0.4168663973638032,0.4168663973638032,0.1555161086008287,0.12339008256428241,0.25806451612903225,0.7419354838709677,2026-06-23,轨交设备Ⅱ,20,3.547979243051152,0.9920948616600791
47,-0.12994961194058702,0.24533030310128412,-0.12934851257440985,0.37467881567569394,0.37467881567569394,0.19082957612993726,0.1259375656939783,0.5106382978723404,0.48936170212765956,2026-06-23,航空装备Ⅱ,20,2.785846365063641,0.9920948616600791
50,0.08373073098331248,0.0888616625350262,-0.12732720396041702,0.21618886649544322,0.21618886649544322,0.08417337027253664,0.06625491836996134,0.2,0.8,2026-06-23,证券Ⅱ,20,3.2013932562391916,0.9920948616600791
66,-0.11798837975688363,0.2751173444878368,-0.20599257751484704,0.4811099220026839,0.4811099220026839,0.21858356557559752,0.1353303056885809,0.3333333333333333,0.6666666666666666,2026-06-23,光伏设备,20,2.622953630864638,0.9881422924901185
44,-0.08875196343865863,0.22373784030336694,-0.1462944699914163,0.37003231029478323,0.37003231029478323,0.20888571786015395,0.06816120628839528,0.36363636363636365,0.6363636363636364,2026-06-23,物流,20,3.761824323669581,0.9881422924901185
12,-0.10269092542299738,0.229790129546943,-0.10873022896887266,0.33852035851581563,0.33852035851581563,0.1296197593070587,0.12763882341467514,0.5,0.5,2026-06-23,贸易Ⅱ,20,2.3726467947089738,0.9881422924901185
20,-0.09353690268814693,0.13352633105234243,-0.13226057430175012,0.26578690535409255,0.26578690535409255,0.10618950669549802,0.10993047901919861,0.4,0.6,2026-06-23,休闲食品,20,2.5202304000142064,0.9881422924901185
235,0.035201953510280576,0.21886751191117346,-0.2867818028955432,0.5056493148067167,0.5056493148067167,0.19720633203850363,0.21531706426725417,0.26382978723404255,0.7361702127659574,2026-06-23,通用设备,20,2.9404211373112816,0.9841897233201581
23,-0.10618781270401505,0.17408500584471603,-0.22554794358785363,0.39963294943256966,0.39963294943256966,0.14886598690156483,0.11581322930168003,0.43478260869565216,0.5652173913043478,2026-06-23,造纸,20,2.7162999004902124,0.9841897233201581
16,0.2837073099923337,0.11149418958295781,-0.5456203474919518,0.6571145370749096,0.6571145370749096,0.24697231199604622,0.30106559704295155,0.1875,0.8125,2026-06-23,玻璃玻纤,20,3.040979704137965,0.9802371541501976
84,0.18163702443213525,0.13503984121273294,-0.4061930544022099,0.5412328956149428,0.5412328956149428,0.20038067971310927,0.2835708552732298,0.15476190476190477,0.8452380952380952,2026-06-23,通信设备,20,2.5193005368775863,0.9802371541501976
33,-0.06212763257200576,0.056842915183992385,-0.1720401359467629,0.2288830511307553,0.2288830511307553,0.08925959014788765,0.12183896354046997,0.45454545454545453,0.5454545454545454,2026-06-23,铁路公路,20,2.530024396988239,0.9802371541501976
89,0.10030713288967219,0.19501812468860144,-0.3160037085020203,0.5110218331906218,0.5110218331906218,0.19072572499759644,0.21645668799038065,0.24719101123595505,0.7528089887640449,2026-06-23,光学光电子,20,2.844844760334983,0.9762845849802372
57,0.03557332544929609,0.3117651898837439,-0.24896624418881252,0.5607314340725564,0.5607314340725564,0.29569169861136496,0.12871649624588732,0.19298245614035087,0.8070175438596491,2026-06-23,化学原料,20,3.3086003596534836,0.9723320158102767
21,-0.12296986560717947,0.18155835581001528,-0.08799138833887943,0.2695497441488947,0.2695497441488947,0.13555129166840335,0.0814801180828928,0.5238095238095238,0.47619047619047616,2026-06-23,养殖业,20,2.312733447980272,0.9723320158102767
75,0.1000019575338716,0.19982358278501497,-0.3067077155054189,0.5065312982904339,0.5065312982904339,0.18527234173981222,0.19693637615828108,0.22666666666666666,0.7733333333333333,2026-06-23,塑料,20,2.2907245549749975,0.9683794466403162
35,0.2012202861923845,0.26154487308990076,-0.3234135443253244,0.5849584174152251,0.5849584174152251,0.22692016523840486,0.27288654927826816,0.3142857142857143,0.6857142857142857,2026-06-23,电子化学品Ⅱ,20,2.8110258919246403,0.9644268774703557
170,0.09482014244279513,0.22453874670149707,-0.24516322809755456,0.4697019747990516,0.4697019747990516,0.18092190282898543,0.22655066842931282,0.3411764705882353,0.6588235294117647,2026-06-23,半导体,20,2.2275464670742853,0.9644268774703557
12,-0.02592734586466037,0.21152444117557379,-0.16430028959560175,0.3758247307711755,0.3758247307711755,0.16355199196649906,0.08374271065924133,0.25,0.75,2026-06-23,特钢Ⅱ,20,2.4240843118719186,0.9644268774703557
59,-0.0504883819529528,0.157406207628171,-0.1377224777460249,0.2951286853741959,0.2951286853741959,0.11402471447797964,0.08830350379921414,0.2711864406779661,0.7288135593220338,2026-06-23,农化制品,20,2.2113382814613254,0.9644268774703557
60,0.17163002548644976,0.31085394010618866,-0.29495006745098507,0.6058040075571738,0.6058040075571738,0.2321725784771627,0.3149736650237761,0.36666666666666664,0.6333333333333333,2026-06-23,元件,20,2.9214125208118675,0.9604743083003953
13,-0.023515159313938022,0.2973607664871405,-0.1321518512268118,0.4295126177139523,0.4295126177139523,0.21625326037923495,0.11979399498499577,0.3076923076923077,0.6923076923076923,2026-06-23,数字媒体,20,2.1618295653900947,0.9604743083003953
80,-0.07422824298184166,0.27248603744482963,-0.18272935869532964,0.45521539614015927,0.45521539614015927,0.2318044991088004,0.12131689854944727,0.3125,0.6875,2026-06-23,房地产开发,20,2.2702857591066827,0.9565217391304348
34,0.03184317768572773,0.16021896578793074,-0.23517735465672782,0.39539632044465856,0.39539632044465856,0.1617892741297965,0.1457829936214664,0.23529411764705882,0.7647058823529411,2026-06-23,专业服务,20,2.3661186282408626,0.9565217391304348
60,-0.0699998684338168,0.2123929428559959,-0.15797206225379332,0.3703650051097892,0.3703650051097892,0.14118743285624052,0.1714974440739515,0.4166666666666667,0.5833333333333334,2026-06-23,工业金属,20,1.8025740255159177,0.9565217391304348
27,-0.061241027118553164,0.0659668119898601,-0.19506579830176313,0.2610326102916232,0.2610326102916232,0.10453749803168548,0.08537448620760135,0.3333333333333333,0.6666666666666666,2026-06-23,饮料乳品,20,1.8640731336536454,0.9525691699604744
