year,RankIC(%),RankICIR,多头超额收益(%),多头信息比,多头超额最大回撤(%),空头超额收益(%),空头信息比,空头超额最大回撤(%),多头年化收益(%),多头年化波动率(%),多头最大回撤(%)
all,-2.7,-1.68,14.76,1.41,-18.79,18.89,1.14,-24.97,17.38,30.47,-52.8
2025,-3.33,-1.41,13.47,1.42,-5.01,-3.48,-0.41,-14.4,32.66,20.19,-15.92
2024,-2.14,-1.17,-2.86,-0.01,-17.89,23.54,0.82,-20.24,8.16,40.97,-32.68
2023,-2.22,-1.52,13.21,2.17,-4.18,1.23,0.08,-7.21,5.17,16.45,-13.09
2022,-2,-1.4,9.26,1.19,-9.84,7.44,0.55,-10.1,-10.76,23.85,-32.92
2021,-2.17,-1.34,20.31,1.52,-10.25,-0.7,-0.15,-22.28,27.47,16.1,-9.14
2020,-2.19,-1.5,4.74,0.52,-9.51,30.61,2.17,-8.12,27.96,27.45,-17.84
2019,-3.23,-2.45,10.74,1.22,-4.07,42.88,4.15,-10.51,40.75,21.78,-16.98
2018,-2.75,-2.09,10.36,1.68,-7.03,19.16,3.19,-7.31,-19.22,24.98,-32.23
2017,-3.03,-2.5,-3.14,-0.35,-7.2,41.55,5.89,-3.97,-1.14,16.44,-14.87
2016,-3.67,-2.25,22.3,3.36,-6.16,19.05,1.62,-7.18,6.38,35.28,-32.69
2015,-3.02,-1.83,92.4,3.98,-17.04,19.59,-0,-18.4,125.98,61.12,-52.8
