year,RankIC(%),RankICIR,多头超额收益(%),多头信息比,多头超额最大回撤(%),空头超额收益(%),空头信息比,空头超额最大回撤(%),多头年化收益(%),多头年化波动率(%),多头最大回撤(%)
all,-2.21,-1.14,13.8,1.11,-26.41,3,-0.02,-58.02,16.57,32.86,-56.27
2025,1.05,0.27,-7.55,-0.57,-22.88,-114.98,-2.86,-57.98,11.75,22.89,-30.69
2024,-2.02,-1.29,1.63,0.2,-17.6,30.67,1.6,-12.27,12.61,40.25,-29.96
2023,-1.67,-1.45,11.58,1.7,-5.86,4.46,0.67,-4.1,3.56,16.62,-16.84
2022,-2.12,-1.52,15.89,1.74,-8.88,2.77,0.19,-11.75,-4.17,24.95,-31.63
2021,-3.48,-2.61,45.89,3.22,-12.59,3.4,0.19,-15.76,52.62,18.4,-11.25
2020,-1.77,-1.13,-7.83,-0.58,-11.14,25.02,2.23,-6.81,15.58,29.61,-19.56
2019,-3.14,-2.43,16.08,1.51,-5.37,34.33,3.89,-5.71,45.96,23.63,-17.99
2018,-2.89,-1.73,17.11,2.3,-9.1,11.08,1.82,-7.43,-12.54,27.14,-32.1
2017,-2.83,-1.73,-3.51,-0.3,-9.28,23.77,3.24,-4.33,-1.5,18.58,-17.55
2016,-2.76,-1.53,9.68,1.25,-10.73,1.11,-0.19,-13.28,-5.9,38.11,-36.3
2015,-2.7,-1.22,76.38,2.59,-23.8,-68.55,-1.58,-45.69,107.57,67.43,-56.27
