year,RankIC(%),RankICIR,多头超额收益(%),多头信息比,多头超额最大回撤(%),空头超额收益(%),空头信息比,空头超额最大回撤(%),多头年化收益(%),多头年化波动率(%),多头最大回撤(%)
all,-2.48,-1.25,17.13,1.35,-21.41,15.62,0.96,-20.78,19.9,32.9,-53.14
2025,-2.54,-1.34,17.95,1.57,-5.1,-8.37,-0.73,-17.77,37.12,22.72,-17.75
2024,-2.01,-0.95,2.38,0.26,-19.99,28.71,1.39,-13.96,13.35,41.15,-33.5
2023,-1.71,-0.97,19.18,2.71,-5.52,1.88,0.23,-5.73,11.09,17.3,-9.8
2022,-1.44,-0.74,12.21,1.4,-10.74,6.97,0.69,-7.79,-7.83,25.14,-34.16
2021,-2.12,-1.04,30.28,2.08,-10.87,-0.29,-0.11,-20.5,37.28,18.03,-10.14
2020,-1.82,-0.97,-7.1,-0.55,-12.07,21.99,1.55,-10.59,16.3,29.13,-19.38
2019,-2.88,-1.96,13.97,1.41,-4.92,30.45,3.11,-8.5,43.91,23.14,-17.04
2018,-2.34,-1.18,8.78,1.28,-8.09,15.03,2.89,-5.77,-20.79,26.73,-34.35
2017,-2.41,-1.15,-6.51,-0.63,-8.87,30.41,4.98,-2.35,-4.46,18.08,-15.5
2016,-3.14,-1.62,12.55,1.58,-8.49,14.24,1.46,-6.96,-3.08,37.47,-34.01
2015,-4.84,-2.04,145.45,4.59,-20.68,29.54,0.23,-19.36,175.57,67.89,-53.14
