year,RankIC(%),RankICIR,多头超额收益(%),多头信息比,多头超额最大回撤(%),空头超额收益(%),空头信息比,空头超额最大回撤(%),多头年化收益(%),多头年化波动率(%),多头最大回撤(%)
all,-0.5,-0.77,7.19,0.72,-22.3,3.61,0.02,-39.35,9.82,31.64,-58.54
2025,-0.57,-0.85,15.21,1.56,-6.03,-11.49,-1,-13.92,34.39,22.47,-17.57
2024,-0.31,-0.48,-4.31,-0.09,-19.76,10.06,0.19,-23.42,6.72,41.38,-32.93
2023,-0.36,-0.64,9.31,1.63,-2.82,-7.7,-1.13,-12.33,1.31,16.18,-15.36
2022,-0.43,-0.77,8.54,1.12,-7.78,-2.35,-0.4,-13.47,-11.47,23.65,-31.27
2021,-0.37,-0.65,24.11,1.87,-10.52,-14.49,-1,-24.31,31.21,18.11,-9.82
2020,-0.56,-0.87,-0.29,0.05,-8.85,17.59,1.37,-9.7,23,29.08,-17.81
2019,-0.39,-0.72,-5.38,-0.5,-8.46,13.52,1.18,-9.13,24.96,22.99,-21.59
2018,-0.42,-0.68,-0.25,0.02,-7.92,6.35,0.76,-11.33,-29.74,25.63,-37.32
2017,-0.72,-1.1,-10.46,-1.22,-11.07,27.7,3.68,-3.97,-8.35,17.47,-17.49
2016,-0.84,-1.04,7.64,1.15,-7.81,7.78,0.47,-9.58,-8.09,36.96,-34.95
2015,-0.48,-0.62,52.92,2.27,-20.69,-19.73,-1.01,-27.7,85.34,63.53,-56.56
