year,RankIC(%),RankICIR,多头超额收益(%),多头信息比,多头超额最大回撤(%),空头超额收益(%),空头信息比,空头超额最大回撤(%),多头年化收益(%),多头年化波动率(%),多头最大回撤(%)
all,-1.15,-1.96,4.87,-0.05,-52.12,-0.51,-0.19,-71.16,10.78,27.31,-51.39
2025,-1.53,-3.83,-33.32,-0.71,-33.83,40.63,0.66,-16.75,17.47,15.96,-17.6
2024,-0.96,-2.05,-0.7,-0.18,-29.45,8.7,-0.18,-33.4,10.3,40.37,-31.98
2023,-0.5,-1.14,6.77,0.2,-7.84,-11.17,-0.57,-19.93,-1.21,16.04,-16.08
2022,-0.92,-1.46,9.16,0.24,-13.31,-10.38,-0.53,-23.32,-10.85,23.89,-31.46
2021,-1.38,-2.37,20.98,0.58,-13.19,-12.39,-0.51,-27.1,28.13,17.8,-10.67
2020,-1.05,-2.52,2,-0.14,-19.12,9.19,-0.05,-20.5,25.26,29.01,-18.33
2019,-1.16,-1.68,-7.92,-0.32,-12.52,15.64,0.23,-13.2,22.47,23.26,-20.34
2018,-0.5,-1.12,2.49,-0.05,-16.03,-0.66,-0.22,-15.81,-27.03,25.07,-37.47
2017,-2.23,-3.8,-13.91,-0.69,-16.37,23.49,1.12,-6.63,-11.75,17.34,-18.07
2016,-2.13,-2.15,4.36,-0.08,-25.03,-0.88,-0.3,-25.31,-11.14,36.16,-34.61
2015,-0.08,-0.18,61.67,0.01,-34.39,-63.41,-0.54,-47.24,105.74,61.76,-42.11
