date,rankic
2015.06.02,-0.061358409289972
2015.06.03,-0.059296681331883
2015.06.04,-0.191666910045948
2015.06.05,-0.206871522503786
2015.06.08,-0.042921419890662
2015.06.09,0.03354109641324
2015.06.10,-0.076649393624322
2015.06.11,0.002556695787332
2015.06.12,-0.073910526762443
2015.06.15,-0.084181287035901
2015.06.16,-0.014072304951502
2015.06.17,-0.055747194684664
2015.06.19,-0.087551504580639
2015.06.23,-0.071365978024624
2015.06.24,-0.034503819857754
2015.06.25,0.03117342339699
2015.06.26,-0.073245253092749
2015.06.29,-0.013113561686861
2015.06.30,0.00333325347236
2015.07.01,-0.09304595942743
2015.07.02,-0.074925483131292
2015.07.03,-0.099521592539596
2015.07.06,0.066278369200512
2015.07.07,-0.108071554645088
2015.07.09,0.074550259905327
2015.07.10,-0.073096256724268
2015.07.13,-0.131453945019322
2015.07.14,-0.040685317867032
2015.07.15,-0.162623163961187
2015.07.16,-0.042710472582832
2015.07.17,-0.034216611741834
2015.07.20,0.065302589158753
2015.07.21,-0.0319572501547
2015.07.22,-0.018590028225529
2015.07.23,0.044200432200032
2015.07.24,-0.02719088941238
2015.07.27,-0.105305816412892
2015.07.28,-0.061614398245002
2015.07.30,-0.098413540621312
2015.07.31,-0.028689636768702
2015.08.03,0.028653809687958
2015.08.04,-0.002116996318162
2015.08.05,-0.05359081024307
2015.08.06,-0.011468691601828
2015.08.07,0.022702553200119
2015.08.10,-0.0331987964235
2015.08.11,-0.064951587127294
2015.08.12,0.078993102107341
2015.08.13,-0.017063527701539
2015.08.14,-0.000250528757578
2015.08.17,0.053159894556318
2015.08.18,0.010200094877434
2015.08.19,-0.026760354805094
2015.08.20,-0.08683996867444
2015.08.21,0.039713328977907
2015.08.24,0.01047440873746
2015.08.25,-0.089714465171247
2015.08.26,-0.058120298158926
2015.08.27,0.188861410184449
2015.08.31,-0.070148033723956
2015.09.01,-0.214985245232936
2015.09.02,-0.04414748951845
2015.09.07,-0.006992262845275
2015.09.08,0.087815447481291
2015.09.09,-0.091988021522532
2015.09.10,0.095489104676974
2015.09.11,-0.052074804700207
2015.09.14,-0.202943695194941
2015.09.15,0.053121542041916
2015.09.16,-0.135626332455431
2015.09.17,-0.091203694256011
2015.09.18,-0.037500107816625
2015.09.21,-0.039215740750805
2015.09.22,-0.060773517700053
2015.09.23,-0.03254495721722
2015.09.24,-0.140226487617983
2015.09.25,-0.004181876354046
2015.09.28,-0.077404161106461
2015.09.29,-0.168013078335825
2015.09.30,0.008005372850765
2015.10.08,-0.120656697975302
2015.10.09,-0.007446985505685
2015.10.12,0.048067311836967
2015.10.13,-0.075412588322546
2015.10.14,-0.050619183553605
2015.10.15,0.056634014674989
2015.10.16,-0.04844223861961
2015.10.19,-0.046408982876945
2015.10.20,-0.079479179626124
2015.10.21,0.034617491772415
2015.10.22,-0.079225041852253
2015.10.23,-0.092231740410814
2015.10.26,-0.088257925883533
2015.10.27,-0.175645316329812
2015.10.28,-0.1460250520662
2015.10.29,-0.04261218833624
2015.10.30,-0.175186060668267
2015.11.02,-0.119579953688237
2015.11.03,0.150870102193914
2015.11.04,-0.132985410988639
2015.11.05,-0.026876954672856
2015.11.06,0.078783655490628
2015.11.09,0.020582260889232
2015.11.10,-0.014717225725992
2015.11.11,-0.031975373294001
2015.11.12,-0.10594806233695
2015.11.13,0.049507993745573
2015.11.16,-0.169866479871881
2015.11.17,-0.174435012128145
2015.11.18,0.197883879581429
2015.11.19,0.050812388323105
2015.11.20,-0.22145514841202
2015.11.23,0.053554364310711
2015.11.24,0.104683784660825
2015.11.25,-0.080975996190312
2015.11.26,-0.110539109982602
2015.11.27,0.048082924496121
2015.11.30,-0.284699884494093
2015.12.01,-0.147295122003285
2015.12.02,0.155409909814841
2015.12.03,-0.049178414193793
2015.12.04,0.086180223423021
2015.12.07,0.00851629005108
2015.12.08,0.022180523189751
2015.12.09,-0.011795224908522
