date,rankic
2015.06.02,-0.08324308693938
2015.06.03,-0.106415336595885
2015.06.04,-0.203880837983963
2015.06.05,-0.1673531590048
2015.06.08,-0.11539702408171
2015.06.09,-0.061227176039858
2015.06.10,-0.003484277217969
2015.06.11,-0.054719380790918
2015.06.12,0.072474216085562
2015.06.15,0.079705373579977
2015.06.16,-0.124268369677107
2015.06.17,0.240624755666877
2015.06.18,-0.08940912177224
2015.06.19,-0.219764495686409
2015.06.23,0.127044321472182
2015.06.24,0.09089370008264
2015.06.25,0.007511178342584
2015.06.26,0.109236725461219
2015.06.29,-0.121560681532795
2015.06.30,-0.02490703398495
2015.07.01,-0.008393339504421
2015.07.02,-0.043593071484053
2015.07.03,-0.123800647438462
2015.07.06,-0.028610377492108
2015.07.07,-0.055143120325938
2015.07.08,-0.048925890957069
2015.07.09,-0.062735978280097
2015.07.10,-0.122362278658571
2015.07.13,-0.415446020863745
2015.07.14,-0.350886380860006
2015.07.15,-0.420761157377512
2015.07.16,-0.355089074172394
2015.07.17,-0.261870401523887
2015.07.20,-0.090304088313444
2015.07.21,0.011629995658489
2015.07.22,-0.133895983083037
2015.07.23,-0.049448117770445
2015.07.24,0.041383177341954
2015.07.27,-0.011734500913444
2015.07.28,-0.016967060488502
2015.07.29,0.106121486969089
2015.07.30,-0.042119219521923
2015.07.31,0.007997283497189
2015.08.03,-0.048036849318237
2015.08.04,0.035037957281856
2015.08.05,-0.025370741995497
2015.08.06,-0.171957551463664
2015.08.07,-0.066748809898704
2015.08.10,-0.026171548520155
2015.08.11,0.121731952374051
2015.08.12,0.101747636536404
2015.08.13,-0.034311198815461
2015.08.14,0.233914316368419
2015.08.17,-0.095946811011506
2015.08.18,0.043586604680795
2015.08.19,-0.161091232804201
2015.08.20,-0.074625142729901
2015.08.21,-0.001407585288847
2015.08.24,0.014065470331788
2015.08.25,-0.040508437508757
2015.08.26,0.012534666010804
2015.08.27,-0.075802774546052
2015.08.28,0.024873499926007
2015.08.31,-0.061396989697343
2015.09.01,-0.083710958053016
2015.09.02,-0.235316104744123
2015.09.07,-0.091884428281178
2015.09.08,-0.087011505153154
2015.09.09,-0.119984406343943
2015.09.10,0.082252039330342
2015.09.11,0.048903559553659
2015.09.14,0.000974341919199
2015.09.15,-0.078433931652709
2015.09.16,-0.038504765211134
2015.09.17,-0.01840465575455
2015.09.18,-0.076088745569612
2015.09.21,-0.121601435559551
2015.09.22,0.038465090124259
2015.09.23,-0.256148933763055
2015.09.24,-0.107744780059803
2015.09.25,0.057807041019807
2015.09.28,-0.025344389319263
2015.09.29,-0.299044876648584
2015.09.30,0.141153304891459
2015.10.08,-0.205511073823153
2015.10.09,-0.081915475894517
2015.10.12,0.09759243987771
2015.10.13,-0.204046777055682
2015.10.14,0.011300673579087
2015.10.15,0.035051336166766
2015.10.16,-0.048599840369503
2015.10.19,-0.044942627663265
2015.10.20,-0.142074031469492
2015.10.21,0.214827316117313
2015.10.22,-0.044646126289648
2015.10.23,-0.175490401503107
2015.10.26,0.035855361674194
2015.10.27,-0.283989609190525
2015.10.28,-0.042184588430682
2015.10.29,-0.050064570049344
2015.10.30,-0.220305405886851
2015.11.02,-0.029573081727168
2015.11.03,0.115794858716776
2015.11.04,-0.104198144955453
2015.11.05,-0.023666539170441
2015.11.06,-0.01143696090894
2015.11.09,-0.066859565445781
2015.11.10,-0.051627159708631
2015.11.11,-0.084023155407924
2015.11.12,-0.112748509532397
2015.11.13,0.100383746124242
2015.11.16,-0.160953146200651
2015.11.17,-0.146293573871595
2015.11.18,0.110041797973122
2015.11.19,0.024109683022125
2015.11.20,-0.200257968513454
2015.11.23,0.003268060886191
2015.11.24,-0.05890089695776
2015.11.25,-0.05457175130358
2015.11.26,-0.004624561068116
2015.11.27,0.191906264428105
2015.11.30,-0.176852104185239
2015.12.01,-0.249565164836338
2015.12.02,-0.034238354173911
2015.12.03,0.077242413559562
2015.12.04,-0.01259431887614
2015.12.07,-0.021460759541118
2015.12.08,0.021144899065461
2015.12.09,-0.170422824233708
2015.12.10,-0.134094352017593
2015.12.11,-0.15042813675535
2015.12.14,0.048779671355503
2015.12.15,-0.05692102712388
2015.12.16,-0.110064877542225
2015.12.17,-0.138357165322014
2015.12.18,-0.024618735000776
2015.12.21,-0.107295858473646
2015.12.22,-0.12775694906571
2015.12.23,0.034513920838238
2015.12.24,-0.106517922717054
2015.12.25,-0.138208974377826
2015.12.28,0.039702643235555
2015.12.29,-0.076832642593625
2015.12.30,-0.083719930211144
2015.12.31,-0.06172564154885
2016.01.04,0.061041673881252
2016.01.05,0.003838922479838
2016.01.06,-0.004707073042711
2016.01.07,0.11088149281699
2016.01.08,0.158335317461493
2016.01.11,-0.307305583662169
2016.01.12,0.00849913262307
2016.01.13,-0.318410457938493
2016.01.14,-0.050172439321749
2016.01.15,-0.257693344768011
2016.01.18,-0.069228815731001
2016.01.19,-0.060468273065848
2016.01.20,-0.120868744111925
