date,industry,window,secid,ret,industry_ret,excess_ret,industry_rank_pct,group,FREE_MV,S_DQ_AMOUNT
2026-06-23,IT服务Ⅱ,3,688088.SH,-0.025968531937624828,0.008664072430343766,-0.0346326043679686,0.19834710743801653,bottom,873320.399616,215254.101
2026-06-23,IT服务Ⅱ,3,300682.SZ,-0.026092348424405554,0.008664072430343766,-0.03475642085474932,0.19008264462809918,bottom,729921.161211,201425.277
2026-06-23,IT服务Ⅱ,3,300264.SZ,-0.02645352644821708,0.008664072430343766,-0.03511759887856085,0.18181818181818182,bottom,300578.002296,141706.139
2026-06-23,IT服务Ⅱ,3,600756.SH,-0.02707812714918667,0.008664072430343766,-0.03574219957953044,0.17355371900826447,bottom,353469.531044,77940.288
2026-06-23,IT服务Ⅱ,3,605398.SH,-0.027609809904466154,0.008664072430343766,-0.03627388233480992,0.1652892561983471,bottom,109783.696295,41415.513
2026-06-23,IT服务Ⅱ,3,688343.SH,-0.03143488530968597,0.008664072430343766,-0.040098957740029736,0.15702479338842976,bottom,1761652.062125,923376.443
2026-06-23,IT服务Ⅱ,3,600850.SH,-0.03168379485844852,0.008664072430343766,-0.04034786728879229,0.1487603305785124,bottom,764316.9216000001,205197.704
2026-06-23,IT服务Ⅱ,3,002642.SZ,-0.03188675947589381,0.008664072430343766,-0.04055083190623758,0.14049586776859505,bottom,354732.455819,98422.311
2026-06-23,IT服务Ⅱ,3,688316.SH,-0.03254101502573015,0.008664072430343766,-0.041205087456073916,0.1322314049586777,bottom,210308.926935,165484.099
2026-06-23,IT服务Ⅱ,3,688562.SH,-0.034786116085415486,0.008664072430343766,-0.043450188515759255,0.12396694214876033,bottom,277087.3,51397.347
2026-06-23,IT服务Ⅱ,3,603887.SH,-0.038466280827795796,0.008664072430343766,-0.047130353258139565,0.11570247933884298,bottom,521744.46359999996,155141.827
2026-06-23,IT服务Ⅱ,3,301185.SZ,-0.041836959145514996,0.008664072430343766,-0.050501031575858765,0.10743801652892562,bottom,159973.619895,47601.097
2026-06-23,IT服务Ⅱ,3,000815.SZ,-0.04316366155283813,0.008664072430343766,-0.0518277339831819,0.09917355371900827,bottom,768965.938485,1056654.199
2026-06-23,IT服务Ⅱ,3,600589.SH,-0.043919233934835766,0.008664072430343766,-0.052583306365179536,0.09090909090909091,bottom,1223500.4922000002,1144608.418
2026-06-23,IT服务Ⅱ,3,688500.SH,-0.04439718585870356,0.008664072430343766,-0.05306125828904733,0.08264462809917356,bottom,235155.26914000002,97881.65
2026-06-23,IT服务Ⅱ,3,688258.SH,-0.05190977921072548,0.008664072430343766,-0.06057385164106925,0.0743801652892562,bottom,916611.495918,551104.222
2026-06-23,IT服务Ⅱ,3,920493.BJ,-0.053533579784844854,0.008664072430343766,-0.06219765221518862,0.06611570247933884,bottom,412680.490167,209562.591
2026-06-23,IT服务Ⅱ,3,002474.SZ,-0.05522875794778592,0.008664072430343766,-0.06389283037812969,0.05785123966942149,bottom,318297.780248,100387.941
2026-06-23,IT服务Ⅱ,3,688787.SH,-0.05821299406894642,0.008664072430343766,-0.06687706649929019,0.049586776859504134,bottom,594100.299264,523650.063
2026-06-23,IT服务Ⅱ,3,301172.SZ,-0.058268908123976004,0.008664072430343766,-0.06693298055431977,0.04132231404958678,bottom,231618.24,128656.44
2026-06-23,IT服务Ⅱ,3,000034.SZ,-0.059828760254331925,0.008664072430343766,-0.0684928326846757,0.03305785123966942,bottom,1998568.6860540002,841749.426
2026-06-23,IT服务Ⅱ,3,688568.SH,-0.06222379171129333,0.008664072430343766,-0.0708878641416371,0.024793388429752067,bottom,1452923.0633899998,475568.197
2026-06-23,IT服务Ⅱ,3,688229.SH,-0.07232066157962702,0.008664072430343766,-0.08098473400997079,0.01652892561983471,bottom,190498.95359999998,102651.948
2026-06-23,IT服务Ⅱ,3,688207.SH,-0.0789694994448098,0.008664072430343766,-0.08763357187515357,0.008264462809917356,bottom,378862.022448,428852.879
2026-06-23,IT服务Ⅱ,3,920790.BJ,0.4001967389914043,0.008664072430343766,0.3915326665610605,1.0,top,79967.290182,401126.787
2026-06-23,IT服务Ⅱ,3,688227.SH,0.19572111644033807,0.008664072430343766,0.18705704400999432,0.9917355371900827,top,682535.6110080001,1213985.492
2026-06-23,IT服务Ⅱ,3,300166.SZ,0.1809299171110288,0.008664072430343766,0.17226584468068504,0.9834710743801653,top,1535962.310281,2488545.582
2026-06-23,IT服务Ⅱ,3,920748.BJ,0.14708105543568406,0.008664072430343766,0.1384169830053403,0.9752066115702479,top,42978.633444,109377.171
2026-06-23,IT服务Ⅱ,3,301396.SZ,0.13995752601652178,0.008664072430343766,0.13129345358617803,0.9669421487603306,top,2651949.2375999996,4310858.443
2026-06-23,IT服务Ⅱ,3,688251.SH,0.12163455778260168,0.008664072430343766,0.11297048535225791,0.9586776859504132,top,122853.726924,144810.396
2026-06-23,IT服务Ⅱ,3,002657.SZ,0.0899688948322126,0.008664072430343766,0.08130482240186883,0.9504132231404959,top,700911.872142,1673036.686
2026-06-23,IT服务Ⅱ,3,300609.SZ,0.07955634999652084,0.008664072430343766,0.07089227756617707,0.9421487603305785,top,349150.76895,187521.949
2026-06-23,IT服务Ⅱ,3,300399.SZ,0.07195220830662352,0.008664072430343766,0.06328813587627975,0.9338842975206612,top,229175.95388100002,337081.187
2026-06-23,IT服务Ⅱ,3,300440.SZ,0.06687870579461652,0.008664072430343766,0.05821463336427275,0.9256198347107438,top,580454.365275,456465.431
2026-06-23,IT服务Ⅱ,3,920171.BJ,0.06584656579758619,0.008664072430343766,0.05718249336724242,0.9173553719008265,top,82178.38283999999,170835.047
2026-06-23,IT服务Ⅱ,3,300674.SZ,0.05832732104493088,0.008664072430343766,0.04966324861458711,0.9090909090909091,top,913918.807248,304765.716
2026-06-23,IT服务Ⅱ,3,920130.BJ,0.05430909684374985,0.008664072430343766,0.04564502441340608,0.9008264462809917,top,48811.50731999999,30896.006
2026-06-23,IT服务Ⅱ,3,920184.BJ,0.0541573397761721,0.008664072430343766,0.04549326734582833,0.8925619834710744,top,80410.831101,69828.261
2026-06-23,IT服务Ⅱ,3,301208.SZ,0.048494349938609904,0.008664072430343766,0.039830277508266135,0.8842975206611571,top,152491.07952,65535.639
2026-06-23,IT服务Ⅱ,3,002421.SZ,0.04841709943837458,0.008664072430343766,0.03975302700803081,0.8760330578512396,top,684176.6069159999,2186109.034
2026-06-23,IT服务Ⅱ,3,301236.SZ,0.0457164420528553,0.008664072430343766,0.03705236962251153,0.8677685950413223,top,2528089.0641920003,2066075.251
2026-06-23,IT服务Ⅱ,3,688004.SH,0.03826553807895383,0.008664072430343766,0.029601465648610065,0.859504132231405,top,101699.27801600001,34054.933
2026-06-23,IT服务Ⅱ,3,300078.SZ,0.03738753207162038,0.008664072430343766,0.02872345964127661,0.8512396694214877,top,302762.32182,132463.523
2026-06-23,IT服务Ⅱ,3,600410.SH,0.03707201836355267,0.008664072430343766,0.028407945933208906,0.8429752066115702,top,2018646.711403,1928616.001
2026-06-23,IT服务Ⅱ,3,600446.SH,0.03689822266992504,0.008664072430343766,0.028234150239581274,0.8347107438016529,top,842230.1975059999,374310.111
2026-06-23,IT服务Ⅱ,3,600536.SH,0.03676016662329218,0.008664072430343766,0.028096094192948413,0.8264462809917356,top,1619317.4616999999,680697.508
2026-06-23,IT服务Ⅱ,3,300339.SZ,0.035428059398190825,0.008664072430343766,0.02676398696784706,0.8181818181818182,top,3045221.316522,1313624.397
2026-06-23,IT服务Ⅱ,3,920092.BJ,0.033967994651022515,0.008664072430343766,0.02530392222067875,0.8099173553719008,top,55837.900044,71854.687
2026-06-23,IT服务Ⅱ,3,920953.BJ,0.03311299769572562,0.008664072430343766,0.024448925265381855,0.8016528925619835,top,92253.43479,74417.615
