n_stock,industry_ret,top_mean_excess,bottom_mean_excess,k_spread,k_score,dispersion_std,iqr_excess,positive_ratio,negative_ratio,date,industry,window,k_zscore,k_pct
26,0.04154251464344215,0.10540724335348299,-0.12597276981010921,0.2313800131635922,0.2313800131635922,0.0909594164443277,0.07759720537480774,0.34615384615384615,0.6538461538461539,2026-06-23,小金属,3,3.82463984900714,1.0
22,0.030891426046654107,0.09504280415293112,-0.1151474237990983,0.2101902279520294,0.2101902279520294,0.0859152178751652,0.06919938371113077,0.3181818181818182,0.6818181818181818,2026-06-23,橡胶,3,3.2381397507299803,1.0
53,0.020460699255486933,0.10747569762717277,-0.08800102632872701,0.19547672395589977,0.19547672395589977,0.09455143381093867,0.04450729628638994,0.37735849056603776,0.6226415094339622,2026-06-23,服装家纺,3,3.9314015876231183,1.0
12,0.0556849644636942,0.13955767155393686,-0.1477952529089822,0.28735292446291905,0.28735292446291905,0.10787783245240933,0.10569049342955339,0.4166666666666667,0.5833333333333334,2026-06-23,非金属材料Ⅱ,3,3.6242270580767872,0.9920948616600791
14,-0.021105142374695796,0.17284961483328173,-0.09991897356701934,0.27276858840030105,0.27276858840030105,0.09835874621666472,0.044694798110483824,0.7142857142857143,0.2857142857142857,2026-06-23,照明设备Ⅱ,3,3.77095980707963,0.9920948616600791
35,0.03580884215861995,0.10338088309661603,-0.1481641974667314,0.25154508056334746,0.25154508056334746,0.09645041204340235,0.11942825588726413,0.3142857142857143,0.6857142857142857,2026-06-23,电子化学品Ⅱ,3,3.140991785297928,0.9920948616600791
189,0.002589555604360367,0.08778046683383883,-0.08585968399909172,0.17364015083293055,0.17364015083293055,0.0691218361778122,0.05618959328772499,0.5026455026455027,0.4973544973544973,2026-06-23,专用设备,3,2.540815868168727,0.9920948616600791
69,-4.829710335463468e-05,0.0864317512577245,-0.07249319806398107,0.15892494932170556,0.15892494932170556,0.056594621373749356,0.050128099512153135,0.5652173913043478,0.43478260869565216,2026-06-23,家居用品,3,2.467260778405019,0.9920948616600791
22,-0.03468881596854747,0.08764048609619872,-0.06283339188634726,0.15047387798254597,0.15047387798254597,0.05983212764828477,0.03936625730012411,0.8636363636363636,0.13636363636363635,2026-06-23,农产品加工,3,2.635551422901339,0.9920948616600791
31,-0.007260306840702468,0.10595806767641135,-0.05988115680997073,0.16583922448638208,0.16583922448638208,0.07224427398282708,0.04437849810109351,0.6129032258064516,0.3870967741935484,2026-06-23,轨交设备Ⅱ,3,3.4110782635145953,0.9881422924901185
103,0.01746037586038285,0.0885003780703535,-0.07097765266116951,0.159478030731523,0.159478030731523,0.06256885354413791,0.044489006616748705,0.30097087378640774,0.6990291262135923,2026-06-23,环境治理,3,2.8096558985196745,0.9881422924901185
131,-0.004334703811839547,0.10272923711793884,-0.042810255856393406,0.14553949297433225,0.14553949297433225,0.06556288073751829,0.03895648868702739,0.7175572519083969,0.2824427480916031,2026-06-23,医疗器械,3,2.51844181874226,0.9881422924901185
23,-0.02631492920570847,0.09015835239455972,-0.08861867126488363,0.17877702365944334,0.17877702365944334,0.0658400872625084,0.06843778216225394,0.6956521739130435,0.30434782608695654,2026-06-23,造纸,3,2.932479587025003,0.9841897233201581
59,0.002460108085724426,0.10424169198166709,-0.04046522408122302,0.1447069160628901,0.1447069160628901,0.07346719938140081,0.034009304961355014,0.6101694915254238,0.3898305084745763,2026-06-23,农化制品,3,2.6906725454502345,0.9841897233201581
12,0.020380998187610813,0.10550928447842324,-0.05014954461888817,0.1556588290973114,0.1556588290973114,0.07037982819197215,0.05563698794521743,0.3333333333333333,0.6666666666666666,2026-06-23,特钢Ⅱ,3,2.6206595529763343,0.9802371541501976
12,-0.051224211550580136,0.06635845532949769,-0.1028485088956281,0.1692069642251258,0.1692069642251258,0.06101177481886841,0.05058196263795112,0.6666666666666666,0.3333333333333333,2026-06-23,非白酒,3,2.453114166264036,0.9762845849802372
62,0.006465636226233226,0.06358147458353225,-0.04782267093185851,0.11140414551539077,0.11140414551539077,0.042152575280598806,0.037662101853699004,0.6129032258064516,0.3870967741935484,2026-06-23,中药Ⅱ,3,2.2480264807959878,0.9762845849802372
19,-0.021513409575031305,0.06478545225841889,-0.03814321096549648,0.10292866322391536,0.10292866322391536,0.03869404976802302,0.05596398470136377,0.5789473684210527,0.42105263157894735,2026-06-23,白酒Ⅱ,3,2.51041050508115,0.9762845849802372
50,0.04694425242089325,0.04281108889673519,-0.035682653047131974,0.07849374194386716,0.07849374194386716,0.034543498880679493,0.016162801419371986,0.22,0.78,2026-06-23,证券Ⅱ,3,2.3512708099020183,0.9762845849802372
